,TE_information,count_1/1_Senegal,count_1/1_Gabon,count_1/1_Kenya,count_1/1_Colombia,count_1/1_Brazil,count_1/1_USA,chromosome,start,end,te_name,gene_symbol,gene_id,gene_name
102,AaegL5_3_329838956_329839614_rnd_1_family_31_LTR_Gypsy_-,6.0,0.0,2.0,21.0,18.0,28.0,AaegL5_3,329838956,329839614,rnd_1_family_31_LTR_Gypsy_-,ID=AAEL019453,protein_coding_gene,ID=AAEL019453;description=unspecified product
103,AaegL5_3_337935169_337936076_rnd_1_family_463_LTR_Gypsy_span_337935169_337936076_-,1.0,0.0,3.0,24.0,18.0,28.0,AaegL5_3,337935169,337936076,rnd_1_family_463_LTR_Gypsy_span_337935169_337936076_-,ID=AAEL011905,protein_coding_gene,ID=AAEL011905;description=myosin i
104,AaegL5_3_344420602_344421400_rnd_1_family_341_LTR_Gypsy_-,6.0,0.0,4.0,24.0,7.0,24.0,AaegL5_3,344420602,344421400,rnd_1_family_341_LTR_Gypsy_-,ID=AAEL017361,protein_coding_gene,ID=AAEL017361;Name=Or115;description=odorant receptor
105,AaegL5_3_351387259_351387881_rnd_4_family_276_DNA_span_351387259_351387881_-,0.0,5.0,0.0,24.0,15.0,15.0,AaegL5_3,351387259,351387881,rnd_4_family_276_DNA_span_351387259_351387881_-,,,
106,AaegL5_3_383531516_383532224_rnd_1_family_83_DNA_span_383531516_383532224_+,0.0,2.0,0.0,16.0,18.0,13.0,AaegL5_3,383531516,383532224,rnd_1_family_83_DNA_span_383531516_383532224_+,ID=AAEL005476,protein_coding_gene,ID=AAEL005476;description=unspecified product
107,AaegL5_3_386125310_386126096_rnd_4_family_276_DNA_+,0.0,0.0,0.0,11.0,18.0,17.0,AaegL5_3,386125310,386126096,rnd_4_family_276_DNA_+,ID=AAEL000536,protein_coding_gene,ID=AAEL000536;description=unspecified product
108,AaegL5_3_401395174_401395799_rnd_1_family_350_DNA_CMC_EnSpm_-,0.0,0.0,0.0,24.0,18.0,25.0,AaegL5_3,401395174,401395799,rnd_1_family_350_DNA_CMC_EnSpm_-,ID=AAEL019728,protein_coding_gene,ID=AAEL019728;Name=SOCS;description=suppressor of cytokine signaling
109,AaegL5_3_402340346_402341314_rnd_1_family_469_DNA_TcMar_Tc1_+,0.0,2.0,0.0,24.0,18.0,28.0,AaegL5_3,402340346,402341314,rnd_1_family_469_DNA_TcMar_Tc1_+,ID=AAEL004098,protein_coding_gene,ID=AAEL004098;description=neuromusculin
110,AaegL5_3_403213951_403214730_rnd_1_family_123_DNA_-,0.0,2.0,7.0,24.0,18.0,14.0,AaegL5_3,403213951,403214730,rnd_1_family_123_DNA_-,,,
111,AaegL5_3_403381213_403381893_rnd_1_family_465_LINE_I_-,3.0,0.0,2.0,19.0,16.0,28.0,AaegL5_3,403381213,403381893,rnd_1_family_465_LINE_I_-,ID=AAEL004083,protein_coding_gene,ID=AAEL004083;description=WD-repeat protein
112,AaegL5_3_406982415_406983314_rnd_1_family_1039_DNA_Kolobok_Hydra_span_406982415_406983314_+,0.0,8.0,0.0,24.0,18.0,28.0,AaegL5_3,406982415,406983314,rnd_1_family_1039_DNA_Kolobok_Hydra_span_406982415_406983314_+,ID=AAEL018174,protein_coding_gene,ID=AAEL018174;description=unspecified product
113,AaegL5_3_48154991_48155805_rnd_5_family_134_DNA_hAT_Tip100_span_48154991_48155805_-,19.0,9.0,16.0,12.0,3.0,27.0,AaegL5_3,48154991,48155805,rnd_5_family_134_DNA_hAT_Tip100_span_48154991_48155805_-,,,
114,AaegL5_3_55591142_55591992_rnd_1_family_176_DNA_TcMar_Fot1_span_55591142_55591992_-,0.0,0.0,0.0,20.0,17.0,27.0,AaegL5_3,55591142,55591992,rnd_1_family_176_DNA_TcMar_Fot1_span_55591142_55591992_-,ID=AAEL023337,ncRNA_gene,ID=AAEL023337;description=unspecified product
115,AaegL5_3_57794509_57795176_rnd_3_family_1017_DNA_TcMar_+,11.0,0.0,4.0,18.0,17.0,28.0,AaegL5_3,57794509,57795176,rnd_3_family_1017_DNA_TcMar_+,,,
116,AaegL5_3_58138110_58138769_rnd_1_family_259_SINE_ID_span_58138110_58138769_-,5.0,0.0,6.0,21.0,18.0,23.0,AaegL5_3,58138110,58138769,rnd_1_family_259_SINE_ID_span_58138110_58138769_-,,,
117,AaegL5_3_59175687_59176519_rnd_1_family_609_DNA_TcMar_+,7.0,0.0,2.0,24.0,18.0,28.0,AaegL5_3,59175687,59176519,rnd_1_family_609_DNA_TcMar_+,,,
118,AaegL5_3_60741918_60742665_rnd_1_family_56_DNA_CMC_Chapaev_+,0.0,2.0,0.0,24.0,15.0,25.0,AaegL5_3,60741918,60742665,rnd_1_family_56_DNA_CMC_Chapaev_+,,,
119,AaegL5_3_62859904_62860680_rnd_1_family_163_LTR_Gypsy_+,0.0,5.0,19.0,0.0,0.0,8.0,AaegL5_3,62859904,62860680,rnd_1_family_163_LTR_Gypsy_+,ID=AAEL006249,protein_coding_gene,ID=AAEL006249;description=poly(a) polymerase cid (pap) (caffein-induced death protein)
120,AaegL5_3_65794376_65795046_rnd_1_family_31_LTR_Gypsy_-,5.0,0.0,18.0,21.0,1.0,13.0,AaegL5_3,65794376,65795046,rnd_1_family_31_LTR_Gypsy_-,ID=AAEL020547,protein_coding_gene,ID=AAEL020547;description=unspecified product
121,AaegL5_3_73362254_73362950_rnd_4_family_371_DNA_hAT_hATx_span_73362254_73362950_+,20.0,12.0,1.0,20.0,18.0,22.0,AaegL5_3,73362254,73362950,rnd_4_family_371_DNA_hAT_hATx_span_73362254_73362950_+,,,
122,AaegL5_3_73381915_73382529_rnd_5_family_789_LTR_Pao_-,5.0,1.0,19.0,24.0,16.0,25.0,AaegL5_3,73381915,73382529,rnd_5_family_789_LTR_Pao_-,,,
123,AaegL5_3_77284701_77285347_rnd_1_family_463_LTR_Gypsy_-,20.0,1.0,14.0,24.0,18.0,27.0,AaegL5_3,77284701,77285347,rnd_1_family_463_LTR_Gypsy_-,,,
124,AaegL5_3_84012998_84013680_rnd_1_family_129_LINE_RTE_BovB_+,0.0,0.0,0.0,24.0,17.0,22.0,AaegL5_3,84012998,84013680,rnd_1_family_129_LINE_RTE_BovB_+,ID=AAEL020893,protein_coding_gene,ID=AAEL020893;description=unspecified product
125,AaegL5_3_85028727_85029539_rnd_1_family_411_Unknown_+,20.0,8.0,1.0,23.0,18.0,22.0,AaegL5_3,85028727,85029539,rnd_1_family_411_Unknown_+,ID=AAEL003891,protein_coding_gene,ID=AAEL003891;description=Ctl transporter [Source:UniProtKB/TrEMBL%3BAcc:A0A1S4F6B7]
