TE_information,count_1/1_USA,count_1/1_Kenya,count_1/1_Colombia,count_1/1_Senegal,count_1/1_Brazil,count_1/1_Gabon,chromosome,start,end,te_name,gene_symbol,gene_id,gene_name,GO_terms
AaegL5_3_218682555_218682924_rnd_6_family_2096_LINE_L1_.,0.0,0.0,0.0,3.0,0.0,10.0,AaegL5_3,218682555,218682924,rnd_6_family_2096_LINE_L1_.,AAEL025592,ncRNA_gene,ID=AAEL025592;description=unspecified product,
AaegL5_3_276034181_276036360_rnd_1_family_688_LINE_CR1_.,12.0,2.0,11.0,6.0,11.0,12.0,AaegL5_3,276034181,276036360,rnd_1_family_688_LINE_CR1_.,AAEL012884,protein_coding_gene,ID=AAEL012884;description=unspecified product,vesicle-mediated transport; BLOC-3 complex; guanyl-nucleotide exchange factor activity
AaegL5_3_288642385_288643499_rnd_3_family_141_LINE_Jockey_.,3.0,7.0,7.0,13.0,3.0,12.0,AaegL5_3,288642385,288643499,rnd_3_family_141_LINE_Jockey_.,AAEL019507,protein_coding_gene,ID=AAEL019507;description=unspecified product,cell volume homeostasis; chemical synaptic transmission; chloride ion homeostasis; potassium ion homeostasis; chloride transmembrane transport; potassium ion import across plasma membrane; membrane; potassium:chloride symporter activity
AaegL5_3_300839492_300839843_rnd_1_family_34_SINE_tRNA_.,2.0,0.0,21.0,0.0,5.0,0.0,AaegL5_3,300839492,300839843,rnd_1_family_34_SINE_tRNA_.,AAEL006636,protein_coding_gene,ID=AAEL006636;Name=GPRLLK1_1;description=GPCR Leukokinin Family,G protein-coupled receptor signaling pathway; membrane; neuropeptide Y receptor activity
AaegL5_3_300919107_300919607_rnd_1_family_212_DNA_.,0.0,0.0,0.0,5.0,0.0,10.0,AaegL5_3,300919107,300919607,rnd_1_family_212_DNA_.,,,,
AaegL5_3_301117482_301118385_rnd_1_family_467_Unknown_.,4.0,1.0,0.0,8.0,0.0,11.0,AaegL5_3,301117482,301118385,rnd_1_family_467_Unknown_.,AAEL018304,protein_coding_gene,ID=AAEL018304;description=unspecified product,sodium ion transmembrane transport; membrane; L-amino acid transmembrane transporter activity
AaegL5_3_315143350_315143739_rnd_1_family_677_DNA_TcMar_Tc1_.,2.0,0.0,15.0,4.0,17.0,0.0,AaegL5_3,315143350,315143739,rnd_1_family_677_DNA_TcMar_Tc1_.,AAEL006027,protein_coding_gene,ID=AAEL006027;description=lipase,lipid metabolic process; lipase activity
AaegL5_3_315447038_315447417_rnd_1_family_147_Unknown_.,20.0,0.0,20.0,0.0,16.0,0.0,AaegL5_3,315447038,315447417,rnd_1_family_147_Unknown_.,,,,
AaegL5_3_315667899_315668297_rnd_4_family_879_Unknown_.,18.0,4.0,17.0,0.0,15.0,0.0,AaegL5_3,315667899,315668297,rnd_4_family_879_Unknown_.,AAEL006034,protein_coding_gene,ID=AAEL006034;description=Vanin-like protein 1 precursor%2C putative,"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides"
AaegL5_3_342935849_342937261_rnd_6_family_1738_Unknown_.,6.0,2.0,20.0,0.0,3.0,0.0,AaegL5_3,342935849,342937261,rnd_6_family_1738_Unknown_.,AAEL019627,protein_coding_gene,ID=AAEL019627;description=unspecified product,sodium ion transmembrane transport; membrane
AaegL5_3_344968066_344968476_rnd_1_family_663_LTR_Pao_.,2.0,7.0,4.0,9.0,1.0,12.0,AaegL5_3,344968066,344968476,rnd_1_family_663_LTR_Pao_.,,,,
AaegL5_3_351154003_351154309_rnd_1_family_866_Unknown_.,8.0,0.0,13.0,19.0,3.0,4.0,AaegL5_3,351154003,351154309,rnd_1_family_866_Unknown_.,AAEL011928,protein_coding_gene,ID=AAEL011928;description=unspecified product,protein maturation; endoplasmic reticulum membrane
AaegL5_3_58045326_58045817_rnd_1_family_147_Unknown_.,23.0,2.0,22.0,7.0,12.0,0.0,AaegL5_3,58045326,58045817,rnd_1_family_147_Unknown_.,,,,
AaegL5_3_6468542_6468708_rnd_1_family_242_DNA_Sola_.,18.0,0.0,17.0,2.0,16.0,0.0,AaegL5_3,6468542,6468708,rnd_1_family_242_DNA_Sola_.,AAEL027506,protein_coding_gene,ID=AAEL027506;description=unspecified product,
AaegL5_3_89475382_89475723_rnd_1_family_117_Unknown_.,10.0,0.0,21.0,1.0,0.0,0.0,AaegL5_3,89475382,89475723,rnd_1_family_117_Unknown_.,AAEL005215,protein_coding_gene,ID=AAEL005215;description=unspecified product,nucleic acid binding
